ID,SourceID,dt,n_pairs,freq,STDP,Initial EPSC Amp,Final EPSC Amp,R,Jitter,
1,1,-12.7,1,100,1,86.89804,86.89804,,1.107518383,
2,1,-11.6,1,100,1.5,255.066,382.599,,7.796910745,
3,1,-13.4,1,100,0.93,101.2153,94.130229,,1.19866761,
4,1,-6.6,1,100,1.29,110.9845,143.170005,,0.590848559,
5,1,-8.8,1,100,1.063,215.2726667,228.8348447,,0.527600821,
6,1,-12.8,1,100,0.95,87.72842857,83.34200714,,1.011035573,
7,1,-2.4,1,100,1.559,120.49955,187.8587985,,0.267232355,
8,1,-4.07,1,100,1.11,72.50613333,80.481808,,0.513540303,
9,1,-9.65,1,100,1.436,125.9509,180.8654924,,0.668585229,
10,1,-16,1,100,1.064,262.9795,279.810188,,0.704538677,
11,1,-15.6,1,100,1.202,91.4843,109.9641286,,0.649356449,
12,1,8.5,1,100,0.472,308.031,145.390632,,0.7033082,
13,1,9.7,1,100,0.67,242.294,162.33698,,0.393732463,
14,1,13.8,1,100,0.58,210.4434667,122.0572107,,1.481009757,
15,1,23.3,1,100,0.265,309.487,82.014055,,2.302747371,
16,1,9.7,1,100,1.117,194.337,217.074429,,0.639743478,
17,1,21.2,1,100,0.767,603.9521053,463.2312647,,6.25,
18,1,13.8,1,100,1.066,214.546,228.706036,,3.090256171,
19,1,17.6,1,100,0.644,344.085,221.59074,,0.68,
20,1,6.5,1,100,0.839,272.1878947,228.3656437,,0.4,
21,1,8.5,1,100,1.16,166.7247,193.400652,,0.45,
22,1,15,1,100,0.806,265.979,214.379074,,1.05,
23,1,-27.6,1,100,1.153866706,96.18671667,110.98665,,2.26,
24,1,-22.6,1,100,1.132014789,133.8375333,151.506067,,1.39,
25,1,-11.665,1,100,1.360154559,72.15711864,98.14483389,,0.88,
26,1,-11.54,1,100,1.204189351,73.99953333,89.10945004,,0.5,
27,1,-7.77,1,100,0.961329866,83.40141667,80.1762727,,0.8,
28,1,-14.237,1,100,1.339208023,64.80531667,86.7878,,0.49,
29,1,-27,1,100,1.385541346,92.55103333,128.2332833,,0.33,
30,1,-18,1,100,1.513975407,144.4853333,218.7472413,,0.44,
31,1,23.99,1,100,0.493733514,158.613026,78.31256667,,1.9,
32,1,14.39,1,100,0.857188799,141.48365,121.2782,,0.86,
33,1,9.8,1,100,0.991210417,192.4265,190.7351514,,0.28,
34,1,15.634,1,100,1.060314661,136.3944167,144.6209997,,0.6,
35,1,18.75,1,100,0.69466224,125.6103833,87.25679021,,0.64,
36,1,16.8,1,100,0.759825926,97.98141667,74.44882064,,0.43,
37,1,8.5,1,100,0.787334387,247.8386667,195.1319048,,0.7,
38,2,-23,1,100,1.40664824,129.89375,182.7148148,251,,
39,2,-20,1,100,2.529478458,36.75,92.95833333,113,,
40,2,-13,1,100,1.111951721,50.28275862,55.912,225,,
41,2,-19,1,100,1.178619387,49.83666667,58.73846154,175,,
42,2,-22,1,100,1.094811973,93.29666667,102.1423077,183,,
43,2,-22,1,100,1.026222579,68.31724138,70.10869565,225,,
44,2,-36,1,100,0.868702886,60.16206897,52.26296296,145,,
45,2,-20,1,100,1.01037258,80.63666667,81.47307692,142,,
46,2,-9,1,100,1.983857349,71.503125,141.852,158,,
47,2,-7,1,100,2.467399343,43.94074074,108.4193548,350,,
48,2,-12,1,100,0.906612142,102.6433333,93.05769231,225,,
49,2,-8,1,100,1.202019333,56.60666667,68.04230769,180,,
50,2,-40,1,100,0.883589909,165.6964286,146.4076923,311,,
51,2,-12,1,100,0.980849207,72.25517241,70.87142857,230,,
52,2,-15,1,100,2.524302833,89.87096774,226.8615385,153,,
53,2,-18,1,100,1.499093416,110.8516129,166.1769231,210,,
54,2,-12,1,100,2.421106751,90.224,218.4419355,215,,
55,2,-15,1,100,1.742686363,93.73181818,163.3451613,280,,
56,2,-14,1,100,1.481863051,26.74884,39.63811765,217,,
57,2,-15,1,100,1.09398317,212.938,232.9505882,156,,
58,2,-17,1,100,1.325075384,148.92398,197.3355,67,,
59,2,-18,1,100,1.510007636,110.62752,167.0484,225,,
60,2,-16,1,100,1.209798834,239.1618,289.3376667,152,,
61,2,-17,1,100,1.235352199,340.2438333,420.3209677,215,,
62,2,-12,1,100,1.356588381,222.9123636,302.4003226,55,,
63,2,-18,1,100,2.478535862,80.24082,198.87975,210,,
64,2,-15,1,100,2.408307637,228.6735,550.7161364,110,,
65,2,-16,1,100,1.778642925,90.62777143,161.1944444,192,,
66,2,25,1,100,0.480643393,136.3103448,65.51666667,250,,
67,2,13,1,100,0.776150628,97.99,76.055,215,,
68,2,20,1,100,0.949756854,104.6466667,99.38888889,235,,
69,2,19,1,100,0.572100575,171.13,97.90357143,270,,
70,2,19,1,100,0.775452298,148.3166667,115.0125,156,,
71,2,17,1,100,0.276697872,93.59,25.89615385,250,,
72,2,24,1,100,0.789093577,95.9,75.67407407,220,,
73,2,28,1,100,0.760778736,80.35,61.12857143,290,,
74,2,31,1,100,1.168433005,75.48571429,88.2,271,,
75,2,37,1,100,1.035848728,96.26071429,99.71153846,280,,
76,2,15,1,100,0.239113072,79.29666667,18.96086957,210,,
77,2,21,1,100,0.451830578,134.0030303,60.54666667,255,,
78,2,26,1,100,0.823451695,135.0939394,111.2433333,250,,
79,2,24,1,100,1.051915756,159.9969697,168.3033333,340,,
80,2,29,1,100,0.478729977,95.15454545,45.55333333,135,,
81,2,15,1,100,0.248441439,307.4791667,76.39056667,134,,
82,2,20,1,100,0.398412753,165.8562203,66.07923333,105,,
83,2,11,1,100,0.592375383,162.7047692,96.3823,80,,
84,2,12,1,100,0.784701039,261.1032609,204.888,290,,
85,2,15,1,100,0.789635699,202.1446667,159.6206452,119,,
86,3,20.389,1,100,0.977275274,172.1122368,168.2010333,34.85557728,,
87,3,17.112,1,100,0.556758292,113.8683833,63.39716667,52.12326931,,
88,3,10.304,1,100,0.846591658,119.1767,100.894,41.61770442,,
89,3,17.7,1,100,0.728517685,155.6728167,113.4104,38.60991105,,
90,3,-22.08857143,1,100,1.905786295,116.678,222.3633333,38.60991105,,
91,3,-17.2592233,1,100,2.295522043,144.3366667,331.328,89.5531691,,
92,3,-10.116,1,100,2.035380384,80.51448333,163.8776,80.65046065,,
93,4,-12.25666667,1,100,1,59.1,59.1,39.87878106,,
94,4,-15.084,1,100,0.874015748,203.2,177.6,194.587186,,
95,4,-24.99,1,100,0.881040892,107.6,94.8,528.6758668,,
96,4,-13.03,1,100,2.394472362,39.8,95.3,500,,
97,4,-19.71,1,100,0.957200694,172.9,165.5,389,,
98,4,-15.85,1,100,0.999070632,107.6,107.5,417,,
