Date,dt,STDP,Amp TS,Initial EPSP Amp,ratio TS/CS,Final EPSP Amp,jitter,|jitter / dt|,plasticité CS
20161102_E2,-12.7,1,110.78385,86.89804,1.274871677,86.89804,1.107518383,0.087206172,0
20161114_E2,-11.6,1.5,53.56850667,255.066,0.210018218,382.599,7.796910745,0.672147478,1
20161205_E4,-13.4,0.93,82.65543333,101.2153,0.816629831,94.130229,1.19866761,0.089452807,0
20161206_E3,-6.6,1.29,46.67256667,110.9845,0.420532297,143.170005,0.590848559,0.089522509,1
20170106_E6,-8.8,1.063,33.81125,215.2726667,0.157062439,228.8348447,0.527600821,0.059954639,1
20170117_E2,-12.8,0.95,42.73204762,87.72842857,0.487094643,83.34200714,1.011035573,0.078987154,-1
20170125_E3,-2.4,1.559,156.97195,120.49955,1.302676649,187.8587985,0.267232355,0.111346814,1
20170222_E4,-4.07,1.11,149.9239333,72.50613333,2.067741396,80.481808,0.513540303,0.126176979,0
20170306_E2,-9.65,1.436,79.8529,125.9509,0.634000233,180.8654924,0.668585229,0.069283443,1
20170309_E3_Syl,-16,1.064,220.2025,262.9795,0.837337131,279.810188,0.704538677,0.044033667,1
20170320_E1,-15.6,1.202,105.7345,91.4843,1.155766618,109.9641286,0.649356449,0.041625413,1
20161003_E1,8.5,0.472,1.33E+02,308.031,0.431107096,145.390632,0.7033082,0.082742141,-1
20161004_E3,9.7,0.67,236.822,242.294,0.977415867,162.33698,0.393732463,0.040590976,-1
20161019_E2,13.8,0.58,95.9995,210.4434667,0.456177146,122.0572107,1.481009757,0.107319548,-1
20161201_E2,23.3,0.265,310.564,309.487,1.003479952,82.014055,2.302747371,0.098830359,-1
20170104_E2,9.7,1.117,112.7298,194.337,0.580073789,217.074429,0.639743478,0.065952936,1
20170105_E4,21.2,0.767,300.1575,603.9521053,0.496988913,463.2312647,6.25,0.294811321,-1
20170214_E3,13.8,1.066,298.101,214.546,1.389450281,228.706036,3.090256171,0.223931607,0
20170303_E5,17.6,0.644,299.125,344.085,0.869334612,221.59074,0.68,0.038636364,-1
20171031_E6,6.5,0.839,83.19042105,272.1878947,0.305636006,228.3656437,0.4,0.061538462,-1
20171103_E1,8.5,1.16,92.3515,166.7247,0.553916126,193.400652,0.45,0.052941176,0
20171103_E2,15,0.806,187.7065,265.979,0.705719249,214.379074,1.05,0.07,-1
20140714_E6,-27.6,1.153866706,,96.18671667,,110.98665,2.26,0.081884058,1
20140717_E3,-22.6,1.132014789,,133.8375333,,151.506067,1.39,0.061504425,1
20141203_E4,-11.665,1.360154559,,72.15711864,,98.14483389,0.88,0.075439348,1
20141205_E1,-11.54,1.204189351,,73.99953333,,89.10945004,0.5,0.043327556,1
20141208_E2,-7.77,0.961329866,,83.40141667,,80.1762727,0.8,0.102960103,0
20141217_E1,-14.237,1.339208023,,64.80531667,,86.7878,0.49,0.034417363,1
20160718_E4,-27,1.385541346,,92.55103333,,128.2332833,0.33,0.012222222,1
20161019_E4,-18,1.513975407,,144.4853333,,218.7472413,0.44,0.024444444,1
20131105_E5,23.99,0.493733514,,158.613026,,78.31256667,1.9,0.079199667,-1
20141205_E2,14.39,0.857188799,,141.48365,,121.2782,0.86,0.059763725,-1
20141205_E7_Syl,9.8,0.991210417,,192.4265,,190.7351514,0.28,0.028571429,0
20141217_E2,15.634,1.060314661,,136.3944167,,144.6209997,0.6,0.038377894,0
20150121_E6,18.75,0.69466224,,125.6103833,,87.25679021,0.64,0.034133333,-1
20150206_E3,16.8,0.759825926,,97.98141667,,74.44882064,0.43,0.025595238,-1
20161019_E1,8.5,0.787334387,,247.8386667,,195.1319048,0.7,0.082352941,-1
